word,polarity1,polarity2,polarity3,wpolarity
乱哄哄,-1,-1,-1,-1
拥挤,0,0,-1,-1
年轻,0,-1,-2,-1
意外,1,1,-2,1
耐心,0,1,-2,1
积极,-1,-1,1,-1
无语,-1,-1,-2,-1
独立,0,1,-2,1
旧了,-2,-2,-2,0
可气,-2,-2,-2,0
热心,1,1,1,1
烦,-1,-1,-1,-1
闹中取静,1,1,-2,1
怎麽,-1,-1,-2,-1
